Final codec and dispatch measurements.
Command: rtk proxy go test -p=1 . -run '^$' -bench '^(BenchmarkRuntimeApplicationDispatch|BenchmarkEncodeMethodResponse|BenchmarkGeneratedEchoCodec|BenchmarkGeneratedNestedBoxedVectorCodec|BenchmarkGeneratedEchoCallback|BenchmarkGeneratedEchoCodecBufferPath|BenchmarkGeneratedNestedBoxedVectorCodecBufferPath)$' -benchmem -count=5 -benchtime=200ms -cpu=1

goos: darwin
goarch: arm64
pkg: github.com/r6m/tlrpc
cpu: Apple M4 Pro
BenchmarkRuntimeApplicationDispatch/small          	  324086	       693.4 ns/op	  34.61 MB/s	    1260 B/op	      30 allocs/op
BenchmarkRuntimeApplicationDispatch/small          	  351364	       693.5 ns/op	  34.61 MB/s	    1260 B/op	      30 allocs/op
BenchmarkRuntimeApplicationDispatch/small          	  342304	       686.2 ns/op	  34.98 MB/s	    1260 B/op	      30 allocs/op
BenchmarkRuntimeApplicationDispatch/small          	  348614	       722.1 ns/op	  33.24 MB/s	    1260 B/op	      30 allocs/op
BenchmarkRuntimeApplicationDispatch/small          	  350115	       685.8 ns/op	  34.99 MB/s	    1260 B/op	      30 allocs/op
BenchmarkRuntimeApplicationDispatch/1KiB           	  208674	      1158 ns/op	 891.32 MB/s	    5432 B/op	      29 allocs/op
BenchmarkRuntimeApplicationDispatch/1KiB           	  211491	      1128 ns/op	 915.24 MB/s	    5432 B/op	      29 allocs/op
BenchmarkRuntimeApplicationDispatch/1KiB           	  206664	      1136 ns/op	 908.84 MB/s	    5432 B/op	      29 allocs/op
BenchmarkRuntimeApplicationDispatch/1KiB           	  214891	      1134 ns/op	 909.95 MB/s	    5432 B/op	      29 allocs/op
BenchmarkRuntimeApplicationDispatch/1KiB           	  207270	      1139 ns/op	 906.03 MB/s	    5432 B/op	      29 allocs/op
BenchmarkRuntimeApplicationDispatch/64KiB          	   10000	     20556 ns/op	3188.49 MB/s	  271544 B/op	      29 allocs/op
BenchmarkRuntimeApplicationDispatch/64KiB          	   10000	     20896 ns/op	3136.61 MB/s	  271544 B/op	      29 allocs/op
BenchmarkRuntimeApplicationDispatch/64KiB          	   10000	     20669 ns/op	3171.16 MB/s	  271544 B/op	      29 allocs/op
BenchmarkRuntimeApplicationDispatch/64KiB          	   10000	     20318 ns/op	3225.85 MB/s	  271544 B/op	      29 allocs/op
BenchmarkRuntimeApplicationDispatch/64KiB          	   10000	     20825 ns/op	3147.32 MB/s	  271544 B/op	      29 allocs/op
BenchmarkEncodeMethodResponse/scalar               	 5678653	        41.93 ns/op	     176 B/op	       2 allocs/op
BenchmarkEncodeMethodResponse/scalar               	 5798361	        41.80 ns/op	     176 B/op	       2 allocs/op
BenchmarkEncodeMethodResponse/scalar               	 5750241	        41.50 ns/op	     176 B/op	       2 allocs/op
BenchmarkEncodeMethodResponse/scalar               	 5693487	        41.93 ns/op	     176 B/op	       2 allocs/op
BenchmarkEncodeMethodResponse/scalar               	 5704132	        42.14 ns/op	     176 B/op	       2 allocs/op
BenchmarkEncodeMethodResponse/vector               	 2473153	        96.80 ns/op	 330.57 MB/s	     200 B/op	       3 allocs/op
BenchmarkEncodeMethodResponse/vector               	 2399493	        96.49 ns/op	 331.64 MB/s	     200 B/op	       3 allocs/op
BenchmarkEncodeMethodResponse/vector               	 2478099	        96.73 ns/op	 330.81 MB/s	     200 B/op	       3 allocs/op
BenchmarkEncodeMethodResponse/vector               	 2475452	        96.46 ns/op	 331.73 MB/s	     200 B/op	       3 allocs/op
BenchmarkEncodeMethodResponse/vector               	 2464916	        96.33 ns/op	 332.18 MB/s	     200 B/op	       3 allocs/op
BenchmarkEncodeMethodResponse/nested_vector        	 1997554	       122.1 ns/op	  98.31 MB/s	     200 B/op	       3 allocs/op
BenchmarkEncodeMethodResponse/nested_vector        	 1935070	       121.5 ns/op	  98.76 MB/s	     200 B/op	       3 allocs/op
BenchmarkEncodeMethodResponse/nested_vector        	 1889049	       126.0 ns/op	  95.22 MB/s	     200 B/op	       3 allocs/op
BenchmarkEncodeMethodResponse/nested_vector        	 1881098	       121.9 ns/op	  98.42 MB/s	     200 B/op	       3 allocs/op
BenchmarkEncodeMethodResponse/nested_vector        	 1948724	       122.0 ns/op	  98.37 MB/s	     200 B/op	       3 allocs/op
BenchmarkEncodeMethodResponse/bytes/small          	 3201475	        74.06 ns/op	 216.05 MB/s	     200 B/op	       3 allocs/op
BenchmarkEncodeMethodResponse/bytes/small          	 3248203	        75.21 ns/op	 212.75 MB/s	     200 B/op	       3 allocs/op
BenchmarkEncodeMethodResponse/bytes/small          	 3203898	        75.99 ns/op	 210.57 MB/s	     200 B/op	       3 allocs/op
BenchmarkEncodeMethodResponse/bytes/small          	 2910781	        75.16 ns/op	 212.88 MB/s	     200 B/op	       3 allocs/op
BenchmarkEncodeMethodResponse/bytes/small          	 3202784	        74.63 ns/op	 214.40 MB/s	     200 B/op	       3 allocs/op
BenchmarkEncodeMethodResponse/bytes/1KiB           	 1280144	       182.6 ns/op	5608.28 MB/s	    1288 B/op	       3 allocs/op
BenchmarkEncodeMethodResponse/bytes/1KiB           	 1325488	       186.3 ns/op	5495.29 MB/s	    1288 B/op	       3 allocs/op
